title,content,status,posttype,thumbnail,coords
Salmon River alert,<p>Kinder Morgan took samples here in early February.</p>,Published,update,,49.1528293138371|-122.5903630256653
Burnaby Mountain protest,<p>The site of the Nov 2014 protest.</p>,Published,update,,49.27998448471804|-122.9384708404541
Mud Bay Drilling Feb 2015,"<p>Mud Bay Drilling for Kinder Morgan off of Brunette Avenue next to Highway 1.&nbsp;</p><p><a href=""https://www.facebook.com/video.php?v=10153028701210873"" rel=""nofollow"" target=""_blank"">Facebook video</a></p><p><a href=""http://www.cbc.ca/news/canada/british-columbia/kinder-morgan-protesters-briefly-block-traffic-near-highway-1-1.2970620"" rel=""nofollow"" target=""_blank"">CBC News</a>&nbsp;- <a href=""http://rabble.ca/blogs/bloggers/council-canadians/2015/02/protests-disrupt-kinder-morgan-pipeline-drilling-attempt#.VPCdQcbGMf4.facebook"" rel=""nofollow"" target=""_blank"">Rabble&nbsp;Feb 27</a>&nbsp;- <a href=""http://www.vancouverobserver.com/news/kinder-morgan-drillers-hit-protests-new-westminster"" rel=""nofollow"" target=""_blank"">Vancouver Observer</a></p>",Published,update,,49.23375479101104|-122.8776383399963
"Surveying Mar 4/5, 2015",<p>McEllhaney are here surveying for Kinder Morgan at the intersection of lougheed and gaglardi...</p>,Published,update,,49.25270846021108|-122.9117774963379
McElhanney surveying Mar 5 2015,"<p>McElhanney surveying for Kinder Morgan at Government and Horne in Burnaby this afternoon.</p><p><a href=""https://www.facebook.com/photo.php?fbid=1549506031971338&amp;set=pcb.653142798142380&amp;type=1&amp;theater"" target=""_blank"" rel=""nofollow"">Facebook gallery</a></p>",Published,update,,49.24917183461647|-122.9076147079468
Arrest March 16 2015,"<p><a href=""https://www.facebook.com/caretakersunited/posts/404928546346340"" target=""_blank"" rel=""nofollow"">Facebook post</a></p>",Published,update,,49.25074759018555|-122.9092025756836
WATCH: Possible drill site (Apr 1 2015),"<p>This is a very likely location to spot drilling.</p><p><a href=""https://www.facebook.com/caretakersunited/posts/411348769037651"" target=""_blank"" rel=""nofollow"">Caretakers Facebook post</a></p>",Published,update,,49.23760775185602|-122.8895473480225
WATCH: potential drill site (Apr 1 2015),"<p>See the <a href=""https://www.facebook.com/caretakersunited/posts/411348769037651"" target=""_blank"" rel=""nofollow"">Caretakers Facebook post</a> here.</p>",Published,update,,49.25116778317648|-122.9118633270264
"WATCH: Colony Farm access, April 19 2015","<p>Metro Vancouver is bracing for protests in regional parks such as Colony Farm and Surrey Bend after negotiating a deal with Kinder Morgan granting its crews access to plan the route of the proposed Trans Mountain oil pipeline expansion.<br><br>See&nbsp;<a href=""http://www.peacearchnews.com/news/300590201.html"" target=""_blank"" rel=""nofollow"">http://www.peacearchnews.com/news/300590201.html</a></p>",Published,update,,49.22623014281405|-122.8117847442627
WATCH: Surrey Bend Regional Park April 19 2015,"<p>Metro Vancouver is bracing for protests in regional parks such as Colony Farm and Surrey Bend after negotiating a deal with Kinder Morgan granting its crews access to plan the route of the proposed Trans Mountain oil pipeline expansion.</p><p>See&nbsp;<a href=""http://www.peacearchnews.com/news/300590201.html"" rel=""nofollow"" target=""_blank"">http://www.peacearchnews.com/news/300590201.html</a></p>",Published,update,,49.20156031967175|-122.7470684051514
